name,aincome,period,tWAR,WAR,age,Pscore,G,PA,AB,R,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+
양의지,6,4,28.99,6.22,31,1,129,489,425,83,150,29,1,22,247,75,6,0,45,13,6,38,13,0,6,0.353,0.425,0.581,1.007,0.428,160.2
최정,21.5,4,56.57,3.4,31,0.2,112,476,396,91,96,16,1,35,219,74,9,1,55,23,2,126,10,0,2,0.242,0.366,0.553,0.919,0.385,120.1
이재원,3.5,4,12.66,4,30,1,127,461,397,61,130,24,0,15,199,54,0,0,43,12,0,64,13,4,5,0.327,0.405,0.501,0.906,0.394,129
이용규,4,4,39.88,1.82,33,0.2,131,561,479,81,141,12,1,1,158,33,30,11,58,12,0,62,8,7,5,0.294,0.381,0.33,0.711,0.332,89.9
송광민,2.4,4,12.02,1.56,35,0.2,113,460,434,63,129,24,0,18,207,79,4,4,18,4,0,93,13,0,4,0.297,0.328,0.477,0.805,0.346,96.8
