name,aincome,period,tWAR,WAR,age,G,CG,SHO,SP,W,L,S,H,IP,R,ER,PA,1B,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+
임창용,5,4,53.16,1.46,42,36,0,0,11,5,5,4,4,81,51,50,363,85,22,0,15,27,1,11,78,0,4,5.56,5.68,1.38,92.1,90.6
장원준,10,4,37.18,-1.95,33,23,0,0,15,3,6,0,2,70.2,77,75,342,99,19,0,11,32,0,10,46,0,2,9.55,6.33,1.85,52.5,79.2
노경은,1,4,7.27,2.91,34,32,0,0,18,8,6,0,0,126.1,65,60,526,124,23,3,18,29,1,4,85,0,1,4.27,5.09,1.21,121.1,102.5
윤성환,8,4,38.81,-0.44,37,24,0,0,24,5,9,0,0,117.1,99,91,542,164,30,0,28,32,0,9,89,0,2,6.98,6.46,1.67,75.9,81.9
장원삼,2,4,28.05,0.22,35,8,0,0,8,3,1,0,0,38,27,26,173,47,13,1,4,13,0,1,27,0,1,6.16,4.88,1.58,86.1,107.2
