Season,League,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,inning
2012,MLB,20990,0.082086707,0.18656503,0.439989785,0.266096472,0.330700368,0.428176795,0.758877163,0.162080323,0.304567124,2652.796635,257.8375987,0.330428797,107.2015929,1
2012,MLB,20283,0.073361928,0.202435537,0.362396492,0.250027218,0.310062111,0.39983669,0.709898801,0.149809472,0.292709388,2217.759228,-96.53110743,0.309988209,93.08959972,2
2012,MLB,20554,0.076384158,0.188722389,0.40474349,0.25597399,0.317379981,0.405147656,0.722527637,0.149173666,0.295504115,2316.908249,-28.30318694,0.314614303,96.04886876,3
2012,MLB,20640,0.075387596,0.179263565,0.42054054,0.265223928,0.324474841,0.436741488,0.761216329,0.17151756,0.29661782,2574.661062,219.6370257,0.329381761,106.0515194,4
2012,MLB,20647,0.076185402,0.188211362,0.404786412,0.26024965,0.32155961,0.416065856,0.737625466,0.155816206,0.299312087,2414.930846,59.10811012,0.319870115,99.61282034,5
2012,MLB,20806,0.078871479,0.183985388,0.428683385,0.263394529,0.325209554,0.421613231,0.746822785,0.158218702,0.299847476,2500.441953,126.4773166,0.323272823,102.1247224,6
2012,MLB,20630,0.083470673,0.20063015,0.416042522,0.248004344,0.316209207,0.386152592,0.702361799,0.138148248,0.292709232,2209.068737,-144.8142991,0.306540827,90.99925963,7
2012,MLB,20550,0.085109489,0.219367396,0.387976929,0.243411021,0.313289589,0.380636027,0.693925616,0.137225006,0.295372084,2138.947153,-205.8078827,0.302516077,88.31959742,8
2012,MLB,15511,0.081877377,0.239120624,0.342410353,0.231752873,0.300662079,0.366235632,0.666897711,0.134482759,0.287299505,1472.827512,-296.9776154,0.291287709,80.77980165,9
2012,MLB,3568,0.116872197,0.211603139,0.55231788,0.257968127,0.354709418,0.38379814,0.738507558,0.125830013,0.320181405,412.9552295,5.846423278,0.31844072,100.205574,10
2013,MLB,20789,0.082206936,0.189908124,0.432877406,0.263819767,0.328232113,0.410873869,0.739105982,0.147054102,0.306546997,2472.121481,193.647079,0.325788749,105.1898408,1
2013,MLB,20399,0.072454532,0.210206382,0.344682835,0.250988463,0.310222222,0.39641445,0.706636672,0.145425987,0.29737969,2176.16982,-59.56058178,0.311050252,94.60743812,2
2013,MLB,20456,0.072741493,0.186986703,0.389019607,0.256761884,0.316480695,0.397636728,0.714117423,0.140874844,0.297208193,2235.927161,-6.050440658,0.314552949,96.95130768,3
