aincome,tWAR,WAR,age,Pscore,G,PA,AB,R,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+
2.5,9.79,0.47,30,-1.4,96,291,256,46,66,10,0,14,118,39,2,3,24,9,1,80,0,1,1,0.258,0.341,0.461,0.802,0.353,93
2.75,7.68,1.1,30,0.2,127,478,422,64,115,25,0,7,161,51,10,3,36,3,0,101,8,14,3,0.273,0.332,0.382,0.713,0.318,77.2
4.55,10.99,0.41,30,0.2,87,201,162,33,37,6,1,2,51,19,7,1,25,5,0,33,6,6,3,0.228,0.344,0.315,0.658,0.307,70
2.85,3.91,-0.23,33,0.6,22,63,51,8,8,2,0,0,10,2,0,1,10,0,0,11,1,2,0,0.157,0.295,0.196,0.491,0.248,28.2
18.75,31.71,3.09,28,1,105,405,327,48,77,13,0,11,123,57,4,1,60,11,3,87,5,1,6,0.235,0.366,0.376,0.743,0.351,106
8.5,56.4,2.92,39,-0.6,98,401,374,39,130,19,3,5,170,74,2,2,22,2,2,40,10,0,3,0.348,0.384,0.455,0.839,0.389,132.7
1,3.05,0.56,37,0.6,68,122,104,19,24,6,0,4,42,13,1,0,12,1,0,29,1,5,0,0.231,0.316,0.404,0.72,0.322,85.9
7,41.67,1.57,34,-0.6,112,466,394,56,112,12,3,6,148,55,4,4,51,1,0,74,5,18,2,0.284,0.366,0.376,0.742,0.34,98.9
5,11.94,1.99,32,0.6,122,448,390,54,100,23,2,4,139,42,11,4,38,6,0,88,10,11,3,0.256,0.33,0.356,0.686,0.318,83.9
3.25,4.05,1.85,33,0.2,101,322,260,45,68,13,4,0,89,25,5,4,47,6,0,40,7,6,3,0.262,0.383,0.342,0.725,0.347,103.5
16.75,30.2,2.83,28,0.2,100,453,390,74,115,20,1,2,143,22,21,9,44,7,0,37,4,10,2,0.295,0.375,0.367,0.741,0.349,104.7
17.5,32.16,3.2,31,0.2,112,476,407,64,114,19,3,9,166,35,28,11,50,7,6,48,6,11,1,0.28,0.368,0.408,0.776,0.353,107.5
6,9.93,0.12,30,0.2,102,204,177,36,42,5,1,1,52,10,13,9,19,1,0,45,1,5,2,0.237,0.312,0.294,0.605,0.287,62
12.5,26.41,3.92,33,0.2,110,456,401,77,123,23,6,6,176,52,30,7,38,3,1,57,6,12,2,0.307,0.369,0.439,0.808,0.366,116.6
7.5,16.12,1,33,0.6,93,268,234,35,59,14,1,1,78,26,3,1,21,6,0,38,5,6,1,0.252,0.328,0.333,0.662,0.311,78.9
8.75,13.98,1.13,30,-1,100,263,222,22,60,8,0,7,89,36,0,0,39,0,1,47,7,0,2,0.27,0.376,0.401,0.777,0.367,117.1
6.666666667,31.62,4.45,36,-1.4,127,504,426,55,128,26,0,18,208,78,3,3,72,5,5,90,10,0,1,0.3,0.407,0.488,0.895,0.414,163.1
12.5,15.34,2.88,31,-0.6,118,488,435,62,128,27,3,5,176,39,32,13,30,7,1,48,7,11,5,0.294,0.346,0.405,0.751,0.344,113.7
3.5,9.91,-0.01,32,-1,6,6,5,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.2,0.333,0.2,0.533,0.279,67.9
7.75,43.19,2.71,35,-1.4,113,443,390,48,114,20,0,15,179,74,4,5,47,2,3,83,10,1,3,0.292,0.369,0.459,0.828,0.382,140.8
12.5,26.58,1.64,31,-1,85,368,317,44,94,17,0,4,123,29,10,6,40,3,1,45,9,5,3,0.297,0.377,0.388,0.765,0.358,115.6
6.333333333,26.61,3.72,36,1,117,441,390,46,104,14,2,15,167,59,2,1,44,3,3,70,10,2,1,0.267,0.345,0.428,0.773,0.354,113.1
